
===== monitoreo iniciado  2026-08-04 11:04:57  (ether1 y ether2) =====
2026-08-04 11:04:58  ether1     UP    IN 1.67 kbps    OUT 600 bps
2026-08-04 11:04:58  ether2     UP    IN 1.73 kbps    OUT 536 bps
2026-08-04 11:04:59  ether1     UP    IN 9.54 kbps    OUT 8.90 kbps
2026-08-04 11:04:59  ether2     UP    IN 0 bps        OUT 0 bps
2026-08-04 11:05:01  ether1     UP    IN 50.21 kbps   OUT 47.17 kbps
2026-08-04 11:05:01  ether2     UP    IN 0 bps        OUT 0 bps
2026-08-04 11:05:02  ether1     UP    IN 49.15 kbps   OUT 44.16 kbps
2026-08-04 11:05:02  ether2     UP    IN 0 bps        OUT 0 bps
2026-08-04 11:05:03  ether1     UP    IN 11.10 kbps   OUT 11.40 kbps
2026-08-04 11:05:03  ether2     UP    IN 8.33 kbps    OUT 4.03 kbps
2026-08-04 11:05:04  ether1     UP    IN 11.10 kbps   OUT 11.40 kbps
2026-08-04 11:05:04  ether2     UP    IN 8.33 kbps    OUT 4.03 kbps
2026-08-04 11:05:05  ether1     UP    IN 51.20 kbps   OUT 38.24 kbps
2026-08-04 11:05:05  ether2     UP    IN 4.03 kbps    OUT 0 bps
2026-08-04 11:05:06  ether1     UP    IN 49.15 kbps   OUT 46.90 kbps
2026-08-04 11:05:06  ether2     UP    IN 0 bps        OUT 0 bps
2026-08-04 11:05:07  ether1     UP    IN 20.08 kbps   OUT 17.33 kbps
2026-08-04 11:05:08  ether2     UP    IN 0 bps        OUT 0 bps
2026-08-04 11:05:09  ether1     UP    IN 32.30 kbps   OUT 30.10 kbps
2026-08-04 11:05:09  ether2     UP    IN 0 bps        OUT 0 bps

===== monitoreo iniciado  2026-08-04 11:18:17  (ether1 y ether2) =====
2026-08-04 11:18:18  ether1     UP    IN 1.35 kbps    OUT 432 bps
2026-08-04 11:18:18  ether2     DOWN  IN 0 bps        OUT 0 bps
2026-08-04 11:18:19  ether1     UP    IN 7.36 kbps    OUT 6.20 kbps
2026-08-04 11:18:19  ether2     DOWN  IN 0 bps        OUT 0 bps
2026-08-04 11:18:20  ether1     UP    IN 49.19 kbps   OUT 44.64 kbps
2026-08-04 11:18:20  ether2     DOWN  IN 0 bps        OUT 0 bps
2026-08-04 11:18:21  ether1     UP    IN 49.39 kbps   OUT 44.34 kbps
2026-08-04 11:18:21  ether2     DOWN  IN 0 bps        OUT 0 bps
2026-08-04 11:18:22  ether1     UP    IN 19.26 kbps   OUT 16.88 kbps
2026-08-04 11:18:22  ether2     DOWN  IN 0 bps        OUT 0 bps
2026-08-04 11:18:23  ether1     UP    IN 31.73 kbps   OUT 31.20 kbps
2026-08-04 11:18:23  ether2     DOWN  IN 0 bps        OUT 0 bps
2026-08-04 11:18:25  ether1     UP    IN 31.73 kbps   OUT 31.20 kbps
2026-08-04 11:18:25  ether2     DOWN  IN 0 bps        OUT 0 bps
2026-08-04 11:18:26  ether1     UP    IN 50.21 kbps   OUT 44.16 kbps
2026-08-04 11:18:26  ether2     DOWN  IN 0 bps        OUT 0 bps
2026-08-04 11:18:27  ether1     UP    IN 50.21 kbps   OUT 44.16 kbps
2026-08-04 11:18:27  ether2     DOWN  IN 0 bps        OUT 0 bps
2026-08-04 11:18:28  ether1     UP    IN 50.21 kbps   OUT 44.16 kbps
2026-08-04 11:18:28  ether2     DOWN  IN 0 bps        OUT 0 bps
2026-08-04 11:18:29  ether1     UP    IN 50.21 kbps   OUT 44.16 kbps
2026-08-04 11:18:29  ether2     DOWN  IN 0 bps        OUT 0 bps
2026-08-04 11:18:30  ether1     UP    IN 50.21 kbps   OUT 44.16 kbps
2026-08-04 11:18:30  ether2     DOWN  IN 0 bps        OUT 0 bps
2026-08-04 11:18:32  ether1     UP    IN 50.21 kbps   OUT 44.16 kbps
2026-08-04 11:18:32  ether2     DOWN  IN 0 bps        OUT 0 bps
2026-08-04 11:18:33  ether1     UP    IN 50.21 kbps   OUT 44.16 kbps
2026-08-04 11:18:33  ether2     DOWN  IN 0 bps        OUT 0 bps
2026-08-04 11:18:34  ether1     UP    IN 50.21 kbps   OUT 44.16 kbps
2026-08-04 11:18:34  ether2     DOWN  IN 0 bps        OUT 0 bps
2026-08-04 11:18:35  ether1     UP    IN 50.21 kbps   OUT 44.16 kbps
2026-08-04 11:18:35  ether2     DOWN  IN 0 bps        OUT 0 bps
2026-08-04 11:18:36  ether1     UP    IN 50.21 kbps   OUT 44.16 kbps
2026-08-04 11:18:36  ether2     DOWN  IN 0 bps        OUT 0 bps
2026-08-04 11:18:38  ether1     UP    IN 50.21 kbps   OUT 44.16 kbps
2026-08-04 11:18:38  ether2     DOWN  IN 0 bps        OUT 0 bps
2026-08-04 11:18:39  ether1     UP    IN 50.21 kbps   OUT 44.16 kbps
2026-08-04 11:18:39  ether2     DOWN  IN 0 bps        OUT 0 bps
2026-08-04 11:18:40  ether1     UP    IN 50.21 kbps   OUT 44.16 kbps
2026-08-04 11:18:40  ether2     DOWN  IN 0 bps        OUT 0 bps
2026-08-04 11:18:41  ether1     UP    IN 50.21 kbps   OUT 44.16 kbps
2026-08-04 11:18:41  ether2     DOWN  IN 0 bps        OUT 0 bps
2026-08-04 11:18:42  ether1     UP    IN 50.21 kbps   OUT 44.16 kbps
2026-08-04 11:18:42  ether2     DOWN  IN 0 bps        OUT 0 bps
2026-08-04 11:18:44  ether1     UP    IN 50.21 kbps   OUT 44.16 kbps
2026-08-04 11:18:44  ether2     DOWN  IN 0 bps        OUT 0 bps
2026-08-04 11:18:45  ether1     UP    IN 50.21 kbps   OUT 44.16 kbps
2026-08-04 11:18:45  ether2     DOWN  IN 0 bps        OUT 0 bps
2026-08-04 11:18:46  ether1     UP    IN 50.21 kbps   OUT 44.16 kbps
2026-08-04 11:18:46  ether2     DOWN  IN 0 bps        OUT 0 bps
2026-08-04 11:18:47  ether1     UP    IN 50.21 kbps   OUT 44.16 kbps
2026-08-04 11:18:47  ether2     DOWN  IN 0 bps        OUT 0 bps
2026-08-04 11:18:48  ether1     UP    IN 50.21 kbps   OUT 44.16 kbps
2026-08-04 11:18:48  ether2     DOWN  IN 0 bps        OUT 0 bps
2026-08-04 11:18:50  ether1     UP    IN 50.21 kbps   OUT 44.16 kbps
2026-08-04 11:18:50  ether2     DOWN  IN 0 bps        OUT 0 bps
2026-08-04 11:18:51  ether1     UP    IN 50.21 kbps   OUT 44.16 kbps
2026-08-04 11:18:51  ether2     DOWN  IN 0 bps        OUT 0 bps
2026-08-04 11:18:52  ether1     UP    IN 50.21 kbps   OUT 44.16 kbps
2026-08-04 11:18:52  ether2     DOWN  IN 0 bps        OUT 0 bps
2026-08-04 11:18:53  ether1     UP    IN 50.21 kbps   OUT 44.16 kbps
2026-08-04 11:18:53  ether2     DOWN  IN 0 bps        OUT 0 bps
2026-08-04 11:18:54  ether1     UP    IN 50.21 kbps   OUT 44.16 kbps
2026-08-04 11:18:55  ether2     DOWN  IN 0 bps        OUT 0 bps
2026-08-04 11:18:56  ether1     UP    IN 5.23 kbps    OUT 16.54 kbps
2026-08-04 11:18:56  ether2     DOWN  IN 0 bps        OUT 0 bps
2026-08-04 11:18:57  ether1     UP    IN 29.85 kbps   OUT 29.11 kbps
2026-08-04 11:18:57  ether2     UP    IN 1.71 kbps    OUT 1.37 kbps
2026-08-04 11:18:58  ether1     UP    IN 29.85 kbps   OUT 29.11 kbps
2026-08-04 11:18:58  ether2     UP    IN 1.71 kbps    OUT 1.37 kbps
2026-08-04 11:18:59  ether1     UP    IN 23.11 kbps   OUT 19.86 kbps
2026-08-04 11:18:59  ether2     UP    IN 0 bps        OUT 0 bps
2026-08-04 11:19:00  ether1     UP    IN 50.71 kbps   OUT 47.26 kbps
2026-08-04 11:19:00  ether2     UP    IN 0 bps        OUT 0 bps
2026-08-04 11:19:01  ether1     UP    IN 50.21 kbps   OUT 45.74 kbps
2026-08-04 11:19:01  ether2     UP    IN 0 bps        OUT 0 bps
2026-08-04 11:19:03  ether1     UP    IN 6.50 kbps    OUT 5.81 kbps
2026-08-04 11:19:03  ether2     UP    IN 9.20 kbps    OUT 0 bps
2026-08-04 11:19:04  ether1     UP    IN 50.18 kbps   OUT 45.14 kbps
2026-08-04 11:19:04  ether2     UP    IN 0 bps        OUT 0 bps

===== monitoreo iniciado  2026-08-04 11:56:09  (ether1 y ether2) =====
2026-08-04 11:56:10  ether1     UP    IN 2.08 kbps    OUT 0 bps
2026-08-04 11:56:10  ether2     UP    IN 2.03 kbps    OUT 0 bps
2026-08-04 11:56:11  ether1     UP    IN 11.11 kbps   OUT 7.87 kbps
2026-08-04 11:56:12  ether2     UP    IN 1.98 kbps    OUT 0 bps
2026-08-04 11:56:13  ether1     UP    IN 37.78 kbps   OUT 25.03 kbps
2026-08-04 11:56:13  ether2     UP    IN 1.81 kbps    OUT 0 bps
2026-08-04 11:56:14  ether1     UP    IN 16.37 kbps   OUT 20.78 kbps
